49_inventory_records,frequency,percentage,cumulative_perc
--,61,0.3567251461988304,0.35672514619883045
En papel,40,0.23391812865497075,0.5906432748538012
Software especializado + computadora,21,0.12280701754385964,0.7134502923976608
En Excel,20,0.11695906432748537,0.8304093567251463
No lo hago,18,0.10526315789473684,0.9356725146198831
"En Excel,En papel",7,0.04093567251461988,0.9766081871345029
Mentalmente,1,0.005847953216374269,0.9824561403508771
Aplicaci贸n m贸vil (i.e. App) + smartphone,1,0.005847953216374269,0.9883040935672514
"En papel,Mental",1,0.005847953216374269,0.9941520467836256
"Aplicaci贸n m贸vil (i.e. App) + smartphone,En Excel",1,0.005847953216374269,0.9999999999999998
